name,fiction,prompt
friday_night_lights,False,"A rural Texas town with a high school football stadium, modest houses, and wide flat plains."
seinfeld,False,"A Manhattan neighborhood block with apartment buildings, cafes, and subway entrances on busy city streets."
fargo,False,"A Midwestern town in Minnesota with snow-covered roads, low-rise shops, and roadside diners."
the_wire,False,"A Baltimore neighborhood with brick townhouses, narrow alleys, and corner stores."
lady_bird,False,"Sacramento with a Catholic school campus, residential streets, and modest houses."
wizard_of_oz,True,"A fantastical city with tall green towers and glittering walls, inhabited by magical beings and travelers from distant lands."
frozen,True,"A Nordic-inspired kingdom with a fjord-side castle, alpine peaks, and snow-covered villages, inhabited by royal families and townspeople."
game_of_thrones,True,"A medieval coastal city with high stone walls, winding streets, and a fortress overlooking the harbor, inhabited by nobles, soldiers, and commoners."
avatar,True,"An alien moon with towering jungle trees, floating mountains, and glowing flora, inhabited by blue-skinned humanoids and diverse wildlife."
the_matrix,True,"A simulated city with glass skyscrapers, subway tunnels, and repeating architecture, populated by ordinary humans and hidden agents of the system."
